Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1280
	Source Height	720
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Attach Point
	Frame	X pixels	Y pixels	
	280	617.488	375.11	
	281	617.343	375.063	
	282	617.152	375.063	
	283	616.863	375.04	
	284	616.667	375.036	
	285	616.554	374.985	
	286	616.253	374.782	
	287	615.937	374.544	
	288	615.609	374.524	
	289	615.199	374.806	
	290	614.652	375.235	
	291	614.148	375.817	
	292	613.64	376.274	
	293	613.05	376.501	
	294	612.425	376.427	
	295	612.011	376.333	
	296	611.351	376.227	
	297	610.878	376.309	
	298	610.39	376.45	
	299	609.917	376.431	
	300	609.66	376.423	
	301	609.347	376.364	
	302	609.101	376.563	
	303	608.929	376.837	
	304	608.683	377.009	
	305	608.421	377.161	
	306	608.308	377.29	
	307	608.218	377.333	
	308	608.21	377.587	
	309	608.347	377.86	
	310	608.609	378.157	
	311	608.89	378.333	
	312	609.163	378.614	
	313	609.406	378.809	
	314	609.867	378.829	
	315	610.156	378.825	
	316	610.66	378.841	
	317	611.144	378.95	
	318	611.761	379.138	
	319	612.152	379.212	
	320	612.581	379.477	
	321	612.718	379.723	
	322	612.863	379.876	
	323	612.949	379.903	
	324	613.011	379.852	
	325	613.277	379.86	
	326	613.734	379.872	
	327	614.101	379.72	
	328	614.417	379.528	
	329	614.656	379.47	
	330	614.699	379.415	
	331	614.734	379.38	
	332	614.726	379.259	
	333	614.827	379.138	
	334	615.011	378.798	
	335	615.343	378.47	
	336	615.71	378.122	
	337	615.777	377.571	
	338	615.62	377.157	
	339	615.257	376.985	
	340	614.949	376.985	
	341	614.66	376.977	
	342	614.206	376.813	
	343	614.113	376.423	
	344	614.011	375.938	
	345	614.117	375.567	
	346	614.234	375.403	
	347	614.347	375.317	
	348	614.445	375.458	
	349	614.617	375.778	
	350	614.796	376.075	
	351	614.835	376.157	
	352	614.831	376.114	
	353	614.679	375.911	
	354	614.39	375.45	
	355	614.007	375.153	
	356	613.589	375.059	
	357	612.949	375.067	
	358	612.273	375.048	
	359	611.8	375.157	
	360	611.327	375.243	
	361	611.16	375.282	
	362	611.027	375.247	
	363	611.058	375.157	
	364	611.191	374.962	
	365	611.382	374.985	
	366	611.577	375.083	
	367	611.593	375.204	
	368	611.363	375.509	
	369	611.152	375.743	
	370	610.917	375.845	
	371	610.792	375.888	
	372	610.691	375.872	
	373	610.738	375.852	
	374	610.788	375.79	
	375	610.702	375.743	
	376	610.562	375.509	
	377	610.077	375.403	
	378	609.62	375.184	
	379	609.222	375.071	
	380	609.093	374.923	
	381	609.093	374.825	
	382	609.179	374.536	
	383	609.394	374.419	
	384	609.648	374.427	
	385	609.706	374.372	
	386	609.624	374.345	
	387	609.613	374.391	
	388	609.57	374.434	
	389	609.589	374.473	
	390	609.742	374.501	
	391	610.011	374.243	
	392	610.3	373.559	
	393	610.46	373.431	
	394	610.613	373.38	
	395	610.683	373.587	
	396	610.679	373.927	
	397	610.734	374.106	
	398	610.702	374.079	
	399	610.761	373.856	
	400	610.968	373.411	
	401	611.14	373.29	
	402	611.21	373.243	
	403	611.14	373.368	
	404	610.761	373.852	
	405	609.874	374.751	
	406	609.335	375.446	
	407	608.968	375.895	
	408	608.527	376.173	
	409	608.296	376.516	
	410	608.105	377.013	
	411	607.902	377.13	
	412	607.581	377.251	
	413	607.312	377.278	
	414	607.175	377.29	
	415	607.011	377.247	
	416	606.902	377.157	
	417	606.874	377.091	
	418	606.87	376.837	
	419	607.089	376.325	
	420	607.265	376.157	
	421	607.39	376.036	
	422	607.449	375.962	
	423	607.488	376.016	
	424	607.73	375.95	
	425	607.835	376.071	
	426	607.941	376.157	
	427	608.199	376.384	
	428	608.558	376.735	
	429	608.695	376.833	
	430	608.945	377.075	
	431	609.101	377.313	
	432	609.218	377.501	
	433	609.359	377.61	
	434	609.757	377.973	
	435	609.952	378.016	
	436	610.261	378.157	
	437	610.734	378.407	
	438	611.171	378.337	
	439	611.734	378.423	
	440	612.39	378.337	
	441	613.011	378.04	
	442	613.562	377.841	
	443	614.07	377.548	
	444	614.609	377.2	
	445	614.859	377.095	
	446	614.89	377.157	
	447	614.855	377.266	
	448	614.843	377.251	
	449	614.839	376.989	
	450	614.804	376.716	
	451	614.781	376.431	
	452	614.675	376.427	
	453	614.62	376.544	
	454	614.245	376.954	
	455	614.011	377.294	
	456	613.652	377.364	
	457	613.292	377.329	
	458	613.023	377.544	
	459	612.859	377.782	
	460	612.593	377.712	
	461	612.202	377.563	
	462	611.917	377.716	
	463	611.679	377.837	
	464	611.132	377.759	
	465	610.671	377.759	
	466	610.097	377.923	
	467	609.652	377.739	
	468	609.355	377.348	
	469	609.296	377.368	
	470	609.202	378.813	
	471	609.675	381.579	
	472	610.374	385.196	
	473	611.402	389.032	
	474	612.577	392.04	
	475	613.949	393.778	
	476	615.675	394.774	
	477	617.179	395.188	
	478	618.632	395.743	
	479	619.277	396.509	
	480	619.847	397.806	
	481	620.636	398.931	
	482	621.066	399.243	
	483	621.113	399.333	
	484	621.124	400.227	
	485	621.617	400.997	
	486	622.285	401.309	
	487	623.339	401.028	
	488	624.847	400.013	
	489	654.085	381.657	


End of Keyframe Data
